processid,sampleid,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,voucher_type,tissue_type,collectors,collectiondate,lifestage,sex,reproduction,extrainfo,notes,lat,lon,coord_source,coord_accuracy,country,province,region,exactsite
GBITS23383-21,KX372827,13492151, ,KX372827,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,187,Fabales,891,Fabaceae, , ,428782,Stuhlmannia,428783,Stuhlmannia moavi, , , , , , , , , , , ,Robertson 7509 (K), , , , ,Kenya, , , 
GBVA5450-21,EF092851,13682659, ,EF092851,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,124958,Commelinales,148688,Commelinaceae, , ,162193,Commelina,1123601,Commelina eckloniana,1123602,Commelina eckloniana subsp. nairobiensis, , , , , , , , , , ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
GBVO2390-11,AF203602,2307402,Faden 74958 (MO),AF203602,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,187,Fabales,891,Fabaceae, , ,205111,Ormocarpum,428137,Ormocarpum keniense, , , , , , , , , , , ,"Ormocarpum keniense from Kenya maturase (matK) gene, partial cds: chloroplast gene for chloroplast product.|Eukaryota:Viridiplantae:Streptophyta:Embryophyta:Tracheophyta:Spermatophyta:Magnoliophyta:eudicotyledons:core eudicotyledons:rosids:fabids:Fabales:Fabaceae:Papilionoideae:Dalbergieae:Ormocarpum:Ormocarpum keniense:|Kenya",0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
GBVU3210-13,JQ768700,3713031,WAG:7544,JQ768700,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,183,Magnoliales,1090,Annonaceae, , ,252734,Monanthotaxis,349078,Monanthotaxis buchananii, , , , , , , , , , ,taxon:1202420, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
GBVW800-13,JX177512,3715621,K143,JX177512,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,148675,Dioscoreales,126475,Dioscoreaceae, , ,126476,Dioscorea,556968,Dioscorea sp. K143, , , , , , , , , , ,taxon:1227017, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
KPLA125-11,KK 031,1983622, ,KK 031,National Museums of Kenya, ,12,Magnoliophyta,41,Magnoliopsida,44316,Sapindales,148562,Rutaceae, , ,368291,Toddalia,368292,Toddalia asiatica, , ,Daniel Miyawa, , , ,18/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA167-11,KK 073,1983664, ,KK 073,National Museums of Kenya, ,12,Magnoliophyta,41,Magnoliopsida,121244,Ericales,148758,Sapotaceae, , ,148768,Chrysophyllum,252357,Chrysophyllum albidum, , ,Daniel Miyawa, , , ,19/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA197-11,KK 103,1983694, ,KK 103,National Museums of Kenya, ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,124684,Orchidaceae, , ,305310,Ansellia,305311,Ansellia africana, , ,Daniel Miyawa, , , ,19/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA250-11,KK 156,1983747, ,KK 156,National Museums of Kenya, ,12,Magnoliophyta,41,Magnoliopsida,44316,Sapindales,148562,Rutaceae,514693,Rutoideae,148563,Zanthoxylum,373627,Zanthoxylum rubescens, , ,Daniel Miyawa, , , ,20/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
UHURU081-14,A11_K1207_Euphorbia_crotonoides,4110457,Euphorbia_crotonoides_151967797,151967797,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42562,Malpighiales,121224,Euphorbiaceae,591667,Euphorbioideae,121225,Euphorbia,591062,Euphorbia crotonoides, , ,N. Mwadime, , ,Elyse DeFranco,19/07/2012, , , ,EAD_12_011, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1204-15,A4_K1302_Scutia_myrtina,5426929,A4_K1302_Scutia_myrtina, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,43434,Rosales,101004,Rhamnaceae, , ,191958,Scutia,191959,Scutia myrtina, , ,Munyao F., , ,Samson Kurukura,12/09/2014, , , ,SKS14-061, ,0.34338,36.84, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1218-15,B10_K1302_Craterostigma_hirsutum,5426943,B10_K1302_Craterostigma_hirsutum, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121216,Lamiales,275285,Linderniaceae, , ,430255,Craterostigma,430256,Craterostigma hirsutum, , ,Munyao F., , ,Samson Kurukura,12/09/2014, , , ,SKS14-073, ,0.28187,36.8952, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1373-15,H5_K1301_Enneapogon_cenchroides,5427098,H5_K1301_Enneapogon_cenchroides, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,204889,Enneapogon,204890,Enneapogon cenchroides, , ,Munyao F., , ,Samson Kurukura,09/09/2014, , , ,SKS14-039, ,0.45,36.913, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1471-15,A12_K1341,6478058, ,189604308,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,293721,Tetrapogon,434445,Tetrapogon cenchriformis, , ,N. Mwadime, , ,"Sam Kurukura, Ali Hassan",25/05/2015, , , ,SKS15-061, , , , , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1493-15,G2_K1342,6478080, ,189603190,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,121114,Eragrostis,179741,Eragrostis tenuiflora, , ,N. Mwadime, , ,"Sam Kurukura, Ali Hassan",25/05/2015, , , ,SKS15-078, ,0.29237,36.8973, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1606-15,B5_K1343,6478193, ,189602380,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae,122372,Chloridoideae,121108,Sporobolus, , , , ,N. Mwadime, , ,"Sam Kurukura, Ali Hassan",25/05/2015, , , ,SKS15-154, ,0.3927,36.8565, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1760-17,TK2_G1_MRC,7567822, ,TK2_G1_MRC,Smithsonian Institution, ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,314353,Gamochaeta,314354,Gamochaeta purpurea, , ,N. Mwadime, , ,Samson Kurukua and Ali hassan,15/02/2016, , , ,SKS16-033,sp,0.284,36.9119, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU243-14,C7_K1213_Blepharis_maderospatensis,4110619,Blepharis_maderospatensis_151969793,151969793,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121216,Lamiales,148533,Acanthaceae, , ,350962,Blepharis,674306,Blepharis maderaspatensis, , ,N. Mwadime, , ,Elyse DeFranco,08/08/2012, , , ,EAD_12_055, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU250-14,B8_K1213_Cordia_monoica,4110626,Cordia_monoica_151969807,151969807,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,500149,Boraginales,121217,Boraginaceae, , ,148671,Cordia,252487,Cordia monoica, , ,N. Mwadime, , ,Elyse DeFranco,08/08/2012, , , ,EAD_12_057, ,0.318,36.91, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU424-14,H11_K1214_Unknown_sp,4111332,Unknown_sp_, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121216,Lamiales,148533,Acanthaceae,264310,Acanthoideae,204958,Barleria,591088,Barleria eranthemoides, , ,N. Mwadime, , ,Elyse DeFranco,11/06/2013, , , ,EAD_13_057, ,0.282,36.894, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU429-14,F12_K1214_Unknown_sp,4111337,Unknown_sp_, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae,122462,Panicoideae,121130,Digitaria,706796,Digitaria macroblephara, , ,N. Mwadime, , ,Elyse DeFranco,25/04/2013, , , ,EAD_13_051, ,0.481,36.874, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU675-14,D7_K1246_Helichrysum_glumaceum,4473537, ,RRH_13_038D,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,252307,Helichrysum,591084,Helichrysum glumaceum, , ,N. Mwadime, , ,Rhianna Hohbein,07/08/2013, , , ,RRH_13_038D, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU798-14,G8_K1267_Aspilia_sp,4913583,Aspilia_sp_0174918448,174918448,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,306453,Aspilia,1293186,Aspilia pluriseta, , , , , ,Rhiana Hohbein,08/04/2014, , , ,RRH 14-017, ,0.352,36.874, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU833-14,B1_K1268_Aloe_sp,4913618,Aloe_sp_0174918696,174918696,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,252498,Asphodelaceae, , ,205082,Aloe,554967,Aloe nyeriensis, , ,N. Mwadime, , ,Rhiana Hohbein,10/04/2014, , , ,RRH 14 -026, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU878-14,G6_K1268_Alternanthera_sp,4913663,Alternanthera_sp_0174918642,174918642,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42252,Caryophyllales,121675,Amaranthaceae, , ,253058,Alternanthera,306569,Alternanthera pungens, , ,N. Mwadime, , ,Rhiana Hohbein,25/04/2014, , , ,RRH 14-038, ,0.352,36.874, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
GBITS69744-21,LT992999,13556798, ,LT992999,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,42252,Caryophyllales,121675,Amaranthaceae, , ,306376,Pupalia,306377,Pupalia lappacea, , , , , , , , , , , ,AC1131, , , , ,Kenya, , , 
GBVW826-13,JX177538,3715647,K191,JX177538,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,148675,Dioscoreales,126475,Dioscoreaceae, , ,126476,Dioscorea,556979,Dioscorea sp. K191, , , , , , , , , , ,taxon:1227028, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
GBVW883-13,JX177595,3715704, ,JX177595,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,148675,Dioscoreales,126475,Dioscoreaceae, , ,126476,Dioscorea,556968,Dioscorea sp. K143, , , , , , , , , , ,taxon:1227017, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
KPLA183-11,KK 095,1983680, ,KK 095,National Museums of Kenya, ,12,Magnoliophyta,41,Magnoliopsida,44316,Sapindales,148562,Rutaceae,514693,Rutoideae,148563,Zanthoxylum,373613,Zanthoxylum mildbraedii, , ,Daniel Miyawa, , , ,19/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA188-11,KK 090,1983685, ,KK 090,National Museums of Kenya, ,12,Magnoliophyta,41,Magnoliopsida,121212,Gentianales,121213,Rubiaceae,210317,Rubioideae,148466,Psychotria,373612,Psychotria bagshawei, , ,Daniel Miyawa, , , ,19/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
UHURU1019-14,D12_K1269_Senecio_sp,4913804,Senecio_sp_0174918299,174918299,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,422675,Solanecio,676184,Solanecio cydoniifolius, , ,N. Mwadime, , ,Rhiana Hohbein,21/05/2014, , , ,RRH 14-077, ,0.282,36.894, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1085-14,F8_K1270_Unknown_sp,4913870,Unknown_sp_0174917695,174917695,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,204840,Eriochloa,204841,Eriochloa fatmensis, , ,N. Mwadime, , ,Rhiana Hohbein,22/05/2014, , , ,RRH 14-095, ,0.32,36.98, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1201-15,A3_K1301_Microchloa_kunthii,5426926,A3_K1301_Microchloa_kunthii, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,204846,Microchloa,293699,Microchloa kunthii, , ,Munyao F., , ,Samson Kurukura,08/09/2014, , , ,SKS14-034, ,0.292,36.897, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1282-15,D7_K1302_Commelina_reptans,5427007,D7_K1302_Commelina_reptans, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,124958,Commelinales,148688,Commelinaceae, , ,162193,Commelina,659707,Commelina reptans, , ,Munyao F., , ,Samson Kurukura,12/09/2014, , , ,SKS14-068, ,0.28239,36.8937, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1359-15,H1_K1301_Erucastrum_arabicum,5427084,H1_K1301_Brachiaria_leucacrantha, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121178,Brassicales,121179,Brassicaceae, , ,124520,Erucastrum,673431,Erucastrum arabicum, , ,Munyao F., , ,Samson Kurukura,12/09/2014, , , ,SKS14-053, ,0.29196,36.8955, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1379-15,H8_K1301_Indigofera_SKS14-045,5427104,H8_K1301_Indigofera, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,187,Fabales,891,Fabaceae,264218,Papilionoideae,205024,Tephrosia,706800,Tephrosia emeroides, , ,Munyao F., , ,Samson Kurukura,10/09/2014, , , ,SKS14-045, ,0.34,36.887, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1392-15,B2_K1341,6477979, ,189604297,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42252,Caryophyllales,482722,Chenopodiaceae, , ,121676,Chenopodium,455601,Chenopodium ambrosioides, , ,N. Mwadime, , ,"Sam Kurukura, Ali Hassan",25/05/2015, , , ,SKS15-006, ,0.29216,36.8956, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1409-15,C4_K1341,6477996, ,189604292,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121212,Gentianales,121213,Rubiaceae, , ,294136,Kohautia,741462,Kohautia aspera, , ,N. Mwadime, , ,"Sam Kurukura, Ali Hassan",25/05/2015, , , ,SKS15-015,unknown,0.3189,36.8623, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1544-15,B9_K1342,6478131, ,189603248,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,125289,Vernonia,632583,Vernonia brachycalyx, , ,N. Mwadime, , ,"Sam Kurukura, Ali Hassan",25/05/2015, , , ,SKS15-105, ,0.3189,36.8623, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1687-17,TK1_F4_NMK,7567749, ,TK1_F4_NMK,Smithsonian Institution, ,12,Magnoliophyta,41,Magnoliopsida,187,Fabales,891,Fabaceae, , ,204984,Indigofera,766629,Indigofera bogdanii, , ,N. Mwadime, , ,Samson Kurukua and Ali hassan,21/09/2015, , , ,SKS16-009, , , , , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1689-17,TK1_H4_MRC,7567751, ,TK1_H4_MRC,Smithsonian Institution, ,12,Magnoliophyta,41,Magnoliopsida,187,Fabales,891,Fabaceae, , ,204984,Indigofera,766629,Indigofera bogdanii, , ,N. Mwadime, , ,Samson Kurukua and Ali hassan,21/09/2015, , , ,SKS16-009, , , , , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1692-17,TK1_C5_SI,7567754, ,TK1_C5_SI,Smithsonian Institution, ,12,Magnoliophyta,41,Magnoliopsida,44316,Sapindales,148562,Rutaceae, , ,252462,Vepris,766682,Vepris eugeniiflia, , ,N. Mwadime, , ,Samson Kurukua and Ali hassan,21/09/2015, , , ,SKS16-010, ,0.479658,36.8718, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1710-17,TK1_E7_MRC,7567772, ,TK1_E7_MRC,Smithsonian Institution, ,12,Magnoliophyta,41,Magnoliopsida,44316,Sapindales,148562,Rutaceae, , ,766631,Diphasiopsis,766632,Diphasiopsis fadenii, , ,N. Mwadime, , ,Samson Kurukua and Ali hassan,19/09/2015, , , ,SKS16-015, ,0.42262,36.8843, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1756-17,TK2_C1_MRC,7567818, ,TK2_C1_MRC,Smithsonian Institution, ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,204848,Brachiaria,591091,Brachiaria leersoides, , , , , ,Samson Kurukua and Ali hassan,15/02/2016, , , ,SKS16-032, , , , , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU302-14,C8_K1214_Euclea_divinorum,4110678,Euclea_divinorum_, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121244,Ericales,179518,Ebenaceae, , ,252477,Euclea,252715,Euclea divinorum, , ,N. Mwadime, , ,Elyse DeFranco,05/04/2013, , , ,EAD_13_024, ,0.29267,36.8831, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU326-14,D2_K1215_Monsonia_angustifolia,4110702,Monsonia_angustifolia_, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121235,Geraniales,121236,Geraniaceae, , ,306348,Monsonia,591085,Monsonia angustifolia, , ,N. Mwadime, , ,Grace Charles,07/05/2012, , , ,GKC 12-011, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU502-14,G12_K1215_Pentanisia_ouranogyne,4111410,Pentanisia_ouranogyne_, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121212,Gentianales,121213,Rubiaceae, , ,306523,Pentanisia,591087,Pentanisia ouranogyne, , ,N. Mwadime, , ,Grace Charles,07/05/2012, , , ,GKC 12-021, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU773-14,F5_K1267_Psiadia_punctulata,4913558,Psiadia_punctulata_0174918460,174918460,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,514709,Psiadia,514710,Psiadia punctulata, , , , , ,Rhiana Hohbein,02/04/2014, , , ,RRH 14-010, ,0.282,36.894, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU807-14,H9_K1267_Ocimum_sp,4913592,Ocimum_sp_0174918440,174918440,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121216,Lamiales,121311,Lamiaceae, , ,292253,Orthosiphon,676198,Orthosiphon parviflorus, , ,N. Mwadime, , ,Rhiana Hohbein,08/04/2014, , , ,RRH 14-019, ,0.352,36.874, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU814-14,G10_K1267_Unknown_sp,4913599,Unknown_sp_0174918446,174918446,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121159,Malvales,121481,Malvaceae, , ,306329,Hermannia,676192,Hermannia uhligii, , ,N. Mwadime, , ,Rhiana Hohbein,08/04/2014, , , ,RRH 14-021, ,0.352,36.874, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
GBITS13605-21,EU219380,13482122, ,EU219380,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,121491,Campanulaceae,746216,Lobelioideae,121536,Lobelia,1293187,Lobelia giberroa, , , , , , , , , , , ,Jaasund s.n. (GB 1.1.67), , , , ,Kenya, , , 
GBITS19477-21,KY523289,13488150, ,KY523289,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,121595,Cucurbitales,121596,Cucurbitaceae, , ,423197,Zehneria,443296,Zehneria anomala, , , , , , , , , , , ,Gillett 16503 (M), , , , ,Kenya, , , 
GBITS20820-21,HQ859336,13489588, ,HQ859336,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,121244,Ericales,121410,Ericaceae, , ,179521,Erica,1091580,Erica whyteana, , , , , , , , , , , ,"Gehrke, B. 38 (Z)", , , , ,Kenya, , , 
GBVR3013-13,FN434274,3697630, ,FN434274,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,293973,Stipa,293974,Stipa dregeana, , , , , , , , , , ,taxon:42090, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, ,"Nairobi Escarpment, 36 km from Nairobi to Nahuru, 2150m", 
GBVW841-13,JX177553,3715662, ,JX177553,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,148675,Dioscoreales,126475,Dioscoreaceae, , ,126476,Dioscorea,557017,Dioscorea sp. KMbeu, , , , , , , , , , ,taxon:1227067, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
GBVW848-13,JX177560,3715669, ,JX177560,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,148675,Dioscoreales,126475,Dioscoreaceae, , ,126476,Dioscorea,557010,Dioscorea sp. KDio63, , , , , , , , , , ,taxon:1227059, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
KPLA134-11,KK 040,1983631, ,KK 040,National Museums of Kenya, ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,124684,Orchidaceae, , ,264216,Habenaria,373606,Habenaria malacophylla, , ,Daniel Miyawa, , , ,18/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
UHURU006-14,F1_K1207_Ipomoea_sp,4110382,Ipomoea_sp_151967736,151967736,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,197,Solanales,121359,Convolvulaceae, , ,264324,Ipomoea,720001,Ipomoea ficifolia, , ,N. Mwadime, , ,Rob Pringle,07/05/2012, , , ,RMP_12_002, ,0.282,36.894, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU058-14,B8_K1207_Unknown_sp,4110434,Unknown_sp_151967791,151967791,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,35476,Asterales,100962,Asteraceae, , ,306453,Aspilia,306454,Aspilia mossambicensis, , ,N. Mwadime, , ,Elyse DeFranco,16/07/2012, , , ,EAD_12_005, ,0.34,36.87, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1038-14,G2_K1270_Ipomoea_sp,4913823,Ipomoea_sp_0174917686,174917686,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,197,Solanales,121359,Convolvulaceae, , ,264324,Ipomoea,422941,Ipomoea cairica, , ,N. Mwadime, , ,Rhiana Hohbein,22/05/2014, , , ,RRH 14-082, ,0.32,36.98, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1125-14,G4_K1300_Phyllanthus,5055679,phyllanthus_sp_174972692,174972692,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42562,Malpighiales,223446,Phyllanthaceae, , ,205092,Phyllanthus,659721,Phyllanthus sepialis, , ,N. Mwadime, , ,Samson Kurukura,11/06/2014, , , ,SKS14-008, ,0.47,36.97, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1171-14,E10_K1300_Tragus_berteronianus,5055725,tragus_berteronianus_174972710,174972710,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,200,Poales,907,Poaceae, , ,204856,Tragus,204857,Tragus berteronianus, , ,N. Mwadime, , ,Samson Kurukura,11/06/2014, , , ,SKS14-020, ,0.359,36.892, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1175-14,A11_K1300_Acacia_etibaica,5055729,acacia_etibaica_174972757,174972757,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,187,Fabales,891,Fabaceae, , ,401059,Vachellia,894279,Vachellia etbaica, , ,N. Mwadime, , ,Samson Kurukura,11/06/2014, , , ,SKS14-021, ,0.297,36.88, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1200-15,A2_K1302_Teclea_nobilis,5426925,A2_K1302_Teclea_nobilis, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121212,Gentianales,121213,Rubiaceae, , ,191759,Psydrax,474056,Psydrax schimperiana, , ,Munyao F., , ,Samson Kurukura,12/09/2014, , , ,SKS14-056, , , , , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU1224-15,B2_K1302_Cleome_monophylla,5426949,B2_K1302_cleome__monophylla, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,121178,Brassicales,406660,Cleomaceae, , ,196517,Cleome,306439,Cleome monophylla, , ,Munyao F., , ,Samson Kurukura,12/09/2014, , , ,SKS14-057, , , , , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
