processid,sampleid,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,voucher_type,tissue_type,collectors,collectiondate,lifestage,sex,reproduction,extrainfo,notes,lat,lon,coord_source,coord_accuracy,country,province,region,exactsite
UHURU841-14,B2_K1268_Sansevieria_sp,4913626,Sansevieria_sp_0174918697,174918697,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,156276,Asparagaceae, , ,305999,Sansevieria,676175,Sansevieria robusta, , ,N. Mwadime, , ,Rhiana Hohbein,10/04/2014, , , ,RRH 14-029, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
UHURU876-14,E6_K1268_Alternanthera_sp,4913661,Alternanthera_sp_0174918666,174918666,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42252,Caryophyllales,121675,Amaranthaceae, , ,253058,Alternanthera,306569,Alternanthera pungens, , ,N. Mwadime, , ,Rhiana Hohbein,25/04/2014, , , ,RRH 14-038, ,0.352,36.874, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
GBITS66326-21,AM745842,13553380, ,AM745842,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,42562,Malpighiales,223446,Phyllanthaceae, , ,663836,Meineckia,663839,Meineckia fruticans var. engleri, , , , , ,S. A. Robertson & Q. Luke,13/12/1990, , , , , ,-3.78,39.68, , ,Kenya, , , 
ITSAC4707-14,AY242051,4719665,Muasya 1029  (EA  K),AY242051,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,200,Poales,121156,Cyperaceae, , ,385176,Fimbristylis,424066,Fimbristylis complanata, , , , , , , , , , ,Fimbristylis complanata, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
ITSAF1242-14,DQ357533,4691210,Gilbert  and  Thulin 1573 (MO),DQ357533,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,121178,Brassicales,121179,Brassicaceae, , ,418853,Diceratella,627954,Diceratella inermis, , , , , , , , , , ,Diceratella inermis, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
KPLA117-11,Kis 023,1983614, ,Kis 023,National Museums of Kenya, ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,124684,Orchidaceae, , ,373603,Oeceoclades,373604,Oeceoclades maculata, , ,Daniel Miyawa, , , ,17/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA151-11,KK 057,1983648, ,KK 057,National Museums of Kenya, ,12,Magnoliophyta,41,Magnoliopsida,43434,Rosales,100946,Rosaceae,210314,Amygdaloideae,121560,Prunus,191949,Prunus africana, , ,Daniel Miyawa, , , ,18/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA170-11,KK 076,1983667, ,KK 076,National Museums of Kenya, ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,124684,Orchidaceae, , ,373609,Bolusiella,373610,Bolusiella maudiae, , ,Daniel Miyawa, , , ,19/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA207-11,KK 113,1983704, ,KK 113,National Museums of Kenya, ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,124684,Orchidaceae,264213,Epidendroideae,281255,Bulbophyllum,373616,Bulbophyllum bequaertii, , ,Daniel Miyawa, , , ,19/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
UHURU1214-15,A9_K1302_Pollichia_campestris,5426939,A9_K1302_Pollichia_campestris, ,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42252,Caryophyllales,100955,Caryophyllaceae, , ,515023,Pollichia,515024,Pollichia campestris, , ,Munyao F., , ,Samson Kurukura,12/09/2014, , , ,SKS14-071, ,0.28165,36.8936, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
